--- Chunk 0 ---
[0.33-0.83]  Hey,
[211.54-211.78]  bring
[211.78-212.22]  charges
[212.22-212.42]  in
[212.42-212.62]  this
[212.62-212.86]  case.
[228.32-229.00]  David
[229.00-229.44]  Goodman
[229.72-229.92]  a
[229.92-230.24]  newly
[230.24-230.68]  minted
[230.68-231.22]  detective
[231.22-231.50]  with
[231.50-231.66]  the
[231.66-232.02]  Minot
[232.02-232.34]  Police
[232.34-232.94]  Department
[232.94-233.56]  had
[233.56-233.70]  a
[233.70-233.96]  lot
[233.96-234.18]  to
[234.18-234.46]  think
[234.46-234.76]  about
[234.76-235.10]  as
[235.10-235.22]  he
[235.22-235.40]  made
[235.40-235.58]  his
[235.58-235.74]  way
[235.74-235.92]  to
[235.92-236.06]  the
[236.06-236.52]  apartment
[236.52-236.90]  where
[236.90-237.22]  Anita
[237.22-237.78]  Knutson
[237.78-238.00]  was
[238.00-238.38]  murdered.

--- Chunk 2 ---
[0.00-0.76]  unexplained
[0.76-1.10]  death
[1.10-1.40]  of
[1.40-1.50]  a
[1.50-2.00]  promising
[2.00-2.26]  young
[2.26-2.68]  college
[2.68-3.16]  student
[3.16-3.80]  was
[3.80-4.38]  virtually
[4.38-5.06]  unheard
[5.06-5.32]  of
[5.32-5.60]  in
[5.60-5.80]  My
[5.80-5.98]  Not
[5.98-6.26]  North
[6.26-6.70]  Dakota.
[7.68-8.12]  So
[8.12-8.26]  as
[8.26-8.38]  you're
[8.38-8.50]  on
[8.50-8.64]  your
[8.64-8.76]  way
[8.76-8.98]  there,
[9.38-9.56]  what
[9.56-9.66]  are
[9.66-9.76]  you
[9.76-10.06]  thinking?
[10.62-10.78]  I
[10.78-10.98]  was
[10.98-11.18]  new
[11.18-11.46]  to
[11.46-12.20]  investigations,
[12.56-12.70]  kind
[12.70-12.82]  of
[12.82-13.00]  wondered
[13.00-13.26]  what
[13.26-13.66]  direction
[13.66-13.96]  we'd
[13.96-14.10]  go
[14.10-14.40]  in,
[14.56-14.56]  and
[14.56-14.84]  are
[14.84-14.98]  we
[14.98-15.08]  going
[15.08-15.14]  to
[15.14-15.36]  solve
[15.36-15.62]  this
[15.62-15.82]  right
[15.82-16.10]  away?
[16.42-16.42]  Is
[16.42-16.50]  it
[16.50-16.58]  going
[16.58-16.66]  to
[16.66-16.76]  be
[16.76-17.20]  difficult?
[18.50-18.58]  On
[18.58-18.76]  that
[18.76-19.08]  early
[19.08-19.50]  evening
[19.50-19.70]  in
[19.70-20.10]  June,
[20.42-20.66]  Sergeant
[20.66-21.08]  Goodman
[21.08-21.38]  knew
[21.38-21.68]  very
[21.68-22.18]  little
[22.18-22.46]  when
[22.46-22.62]  he
[22.62-22.96]  arrived
[22.96-23.14]  at
[23.14-23.56]  Anita's
[23.56-24.02]  apartment.
[29.55-29.99]  So
[29.99-30.13]  when
[30.13-30.27]  you
[30.27-30.51]  got
[30.51-31.03]  here
[31.03-31.21]  to
[31.21-31.35]  the
[31.35-31.55]  scene
[31.55-31.77]  that
[31.77-32.11]  day,
[32.35-32.53]  what
[32.53-32.63]  did
[32.63-32.77]  you
[32.77-32.95]  see?
[33.91-34.15]  I
[34.15-34.35]  believe
[34.35-34.61]  they
[34.61-34.87]  had
[34.87-35.23]  police
[35.23-35.49]  tape
[35.49-35.73]  up
[35.73-36.19]  already.
[36.99-37.25]  The
[37.25-37.45]  crime
[37.45-37.77]  scene
[37.77-37.97]  van
[37.97-38.19]  was
[38.19-38.45]  parked
[38.45-38.61]  on
[38.61-38.73]  the
[38.73-38.95]  grass
[38.95-39.23]  right
[39.23-39.41]  out
[39.41-39.55]  in
[39.55-39.67]  front
[39.67-39.81]  of
[39.81-39.89]  the
[39.89-40.09]  door.
[41.03-41.11]  And
[41.11-41.99]  detectives
[41.99-42.13]  were
[42.13-42.43]  inside
[42.43-42.69]  the
[42.69-43.07]  apartment.
[43.39-43.53]  Is
[43.53-43.63]  that
[43.63-43.77]  the
[43.77-43.95]  front
[43.95-44.15]  door
[44.15-44.45]  right
[44.45-44.65]  there?
[44.77-44.77]  Yes,
[44.83-45.09]  that's
[45.09-45.21]  the
[45.21-45.45]  front
[45.45-45.65]  and
[45.65-45.89]  only
[45.89-46.21]  door
[46.21-46.65]  going
[46.65-46.97]  into
[46.97-47.21]  apartment
[47.21-47.57]  number
[47.57-47.93]  five.
[48.45-48.77]  The
[48.77-49.11]  bedroom
[49.11-49.63]  window
[49.63-49.97]  caught
[49.97-50.21]  his
[50.21-50.57]  eye.
[50.97-51.11]  What
[51.11-51.21]  did
[51.21-51.29]  you
[51.29-51.49]  notice
[51.49-51.87]  about
[51.87-52.25]  her
[52.25-52.59]  window?
[53.23-53.39]  I
[53.39-53.59]  noticed
[53.59-53.83]  that
[53.83-53.99]  the
[53.99-54.25]  screen
[54.25-54.51]  was
[54.51-54.83]  gone.
[55.55-56.03]  An
[56.03-56.51]  important
[56.51-57.11]  detail?
[57.60-58.04]  That
[58.04-58.56]  remained
[58.56-58.90]  to
[58.90-59.06]  be
[59.06-59.46]  seen.
[60.48-60.72]  As
[60.72-61.02]  police
[61.02-61.50]  began
[61.50-62.06]  processing
[62.06-62.32]  the
[62.32-62.58]  crime
[62.58-63.12]  scene,
[63.76-64.16]  Anita's
[64.16-64.52]  father,
[64.86-65.16]  Gordon,
[65.60-65.70]  had
[65.70-66.00]  begun
[66.00-66.22]  the
[66.22-66.48]  grim
[66.48-66.92]  duty
[66.92-67.34]  of
[67.34-67.64]  telling
[67.64-67.86]  his
[67.86-68.38]  family.
[69.32-69.78]  Anita's
[69.78-70.08]  15
[70.08-70.28] -year
[70.28-70.46] -old
[70.46-70.86]  sister,
[71.08-71.32]  Anna,
[71.72-71.84]  got
[71.84-72.02]  the
[72.02-72.22]  news
[72.22-72.44]  from
[72.44-72.64]  her
[72.64-73.00]  brother.
[73.72-74.10]  Daniel
[74.10-74.34]  comes
[74.34-74.56]  to
[74.56-74.70]  pick
[74.70-74.84]  me
[74.84-75.02]  up
[75.02-75.28]  and
[75.28-75.82]  I
[75.82-75.94]  get
[75.94-76.04]  in
[76.04-76.14]  the
[76.14-76.34]  car
[76.34-76.72]  and
[76.72-77.66]  I
[77.66-77.76]  could
[77.76-77.92]  tell
[77.92-78.16]  he'd
[78.16-78.26]  been
[78.26-78.66]  crying.
[79.24-79.42]  Like,
[79.68-80.10]  something
[80.10-80.28]  was
[80.28-80.56]  very
[80.56-80.94]  wrong.
[81.46-81.68]  And
[81.68-81.74]  I
[81.74-81.84]  was
[81.84-81.94]  like,
[81.96-82.06]  well,
[82.16-82.32]  what's
[82.32-82.50]  going
[82.50-82.94]  on?
[83.32-83.40]  And
[83.40-83.64]  he's
[83.64-83.74]  like,
[83.86-83.94]  and
[83.94-84.02]  I
[84.02-84.28]  can't
[84.28-84.44]  tell
[84.44-84.68]  you.
[85.86-86.42]  Finally,
[86.66-86.80]  he
[86.80-87.14]  spoke
[87.14-87.36]  the
[87.36-87.86]  words.
[89.06-89.62]  Anita
[89.62-90.56]  was
[90.56-90.98]  dead.
[91.70-92.02]  This
[92.02-92.28]  is,
[92.36-92.46]  of
[92.46-92.58]  course,
[92.58-92.86]  my
[92.86-93.14]  first
[93.14-93.38]  time
[93.38-94.06]  with
[94.06-94.30]  any
[94.30-94.56]  type
[94.56-94.78]  of
[94.78-94.98]  grief
[94.98-95.30]  at
[95.30-95.48]  this
[95.48-95.82]  level.
[96.30-96.42]  But
[96.42-96.50]  I
[96.50-96.86]  learned
[96.86-97.50]  about
[97.50-97.84]  myself
[97.84-98.08]  in
[98.08-98.22]  that
[98.22-98.54]  moment,
[98.82-98.90]  like,
[99.00-99.00]  I
[99.00-99.10]  don't
[99.10-99.38]  want
[99.38-99.68]  people
[99.68-100.14]  around.
[100.50-100.58]  I
[100.58-100.74]  don't
[100.74-101.16]  want
[101.16-101.80]  people
[101.80-102.10]  coming
[102.10-102.30]  in
[102.30-102.48]  to
[102.48-102.72]  ask
[102.72-102.94]  me
[102.94-103.54]  if
[103.54-103.72]  I'm
[103.72-103.96]  okay
[103.96-104.28]  every
[104.28-104.46]  five
[104.46-105.04]  seconds,
[105.04-105.48]  especially
[105.48-105.82]  people
[105.82-106.06]  that
[106.06-106.40]  don't
[106.40-106.54]  know
[106.54-106.88]  me.
[107.72-108.18]  Daniel
[108.18-108.64]  was
[108.64-109.12]  also
[109.12-109.50]  taking
[109.50-109.74]  it
[109.74-110.10]  hard.
[110.74-110.94]  I
[110.94-111.26]  understand
[111.26-111.46]  that
[111.46-111.78]  Daniel
[111.78-112.00]  and
[112.00-112.28]  Anita
[112.28-112.98]  had
[112.98-113.10]  a
[113.10-113.34]  very
[113.34-113.78]  special
[113.78-114.48]  relationship.
[114.72-114.82]  They
[114.82-114.96]  did.
[115.28-115.54]  Mm
[115.54-115.64] -hmm,
[116.00-116.12]  they
[116.12-116.22]  were
[116.22-116.46]  very
[116.46-116.80]  close.
[117.68-117.98]  Gordon
[117.98-118.16]  and
[118.16-118.34]  his
[118.34-118.56]  wife
[118.56-118.92]  Sharon
[118.92-119.50]  adopted
[119.50-119.84]  the
[119.84-120.04]  three
[120.04-120.42]  siblings
[120.42-120.90]  when
[120.90-121.06]  they
[121.06-121.20]  were
[121.20-121.46]  all
[121.46-121.82]  very
[121.82-122.30]  young.
[123.06-123.30]  They
[123.30-123.52]  spent
[123.52-123.70]  their
[123.70-124.02]  early
[124.02-124.54]  childhood
[124.54-124.96]  in
[124.96-125.34]  sunny
[125.34-125.82]  Southern
[125.82-126.54]  California.
[127.02-127.30]  It
[127.30-127.42]  was
[127.42-127.52]  a
[127.52-127.68]  fun
[127.68-127.88]  little
[127.88-128.20]  childhood,
[128.50-128.68]  yeah.
[129.32-129.84]  Lauren
[129.84-130.28]  Lessig
[130.28-130.50]  and
[130.50-130.76]  Anita
[130.76-131.44]  became
[131.44-132.06]  forever
[132.06-132.62]  friends
[132.62-133.14]  in
[133.14-133.58]  kindergarten.
[135.76-135.94]  What
[135.94-136.18]  was
[136.18-136.30]  it
[136.30-136.48]  about
[136.48-136.70]  Anita
[136.70-137.02]  that
[137.02-137.22]  just
[137.22-137.70]  really
[137.70-137.90]  drew
[137.90-138.10]  you
[138.10-138.26]  to
[138.26-138.44]  her?
[139.10-139.30]  She
[139.30-139.46]  was
[139.46-139.60]  just
[139.60-140.72]  positive
[140.72-140.94]  and
[140.94-141.26]  happy
[141.26-141.58]  and
[141.58-142.48]  just...
[142.60-143.06]  the
[143.06-143.38]  best.
[143.58-143.58]  I
[143.58-143.70]  mean,
[143.70-143.86]  she
[143.86-144.12]  always
[144.12-144.44]  did
[144.44-144.70]  what
[144.70-144.92]  was
[144.92-145.18]  right.
[145.58-145.92]  She
[145.92-146.64]  never,
[146.70-147.84]  like,
[147.98-148.28]  wavered
[148.28-148.36]  in
[148.36-148.60]  that.
[149.24-149.60]  Then,
[149.84-150.02]  when
[150.02-150.26]  Anita
[150.26-150.58]  was
[150.58-151.00]  almost
[151.00-151.62]  14,
[152.16-152.26]  Gordon
[152.26-152.74]  decided
[152.74-153.02]  to
[153.02-153.18]  move
[153.18-153.36]  the
[153.36-153.70]  family
[153.70-154.00]  up
[154.00-154.40]  north
[154.40-154.96]  to
[154.96-155.16]  his
[155.16-155.56]  hometown
[155.56-156.26]  of
[156.26-156.96]  Butte.
[157.50-157.60]  One
[157.60-157.88]  day,
[158.52-158.88]  your
[158.88-159.02]  dad
[159.02-159.28]  comes
[159.28-159.50]  in
[159.50-159.64]  and
[159.64-159.96]  says,
[160.44-160.86]  removing
[160.86-161.02]  a
[161.02-161.20]  North
[161.20-161.46]  Dakota.
[161.86-162.06]  Yeah,
[162.30-162.52]  Southern
[162.52-162.88]  California
[162.88-163.18]  is
[163.18-163.50]  such.
[163.58-163.82]  It's
[163.82-164.36]  obviously
[164.36-164.70]  very
[164.70-165.16]  different
[165.16-165.52]  than
[165.52-166.18]  North
[166.18-166.60]  Central
[166.60-166.74]  and
[166.74-166.86]  North
[166.86-167.20]  Dakota,
[167.28-167.56]  for
[167.56-167.84]  sure.
[168.20-168.42]  For
[168.42-168.68]  Anita,
[168.92-169.08]  I
[169.08-169.22]  think
[169.22-169.42]  it
[169.42-169.66]  was
[169.66-170.52]  really
[170.52-170.86]  hard.
[171.63-172.01]  friendship
[172.01-172.21]  was
[172.21-172.33]  so
[172.33-172.65]  important
[172.65-172.83]  to
[172.83-173.01]  her
[173.01-173.21]  and
[173.21-173.77]  leaving
[173.77-174.01]  all
[174.01-174.11]  of
[174.11-174.21]  her
[174.21-174.43]  friends
[174.43-174.79]  behind
[174.79-175.27]  and
[175.27-175.59]  I
[175.59-175.71]  mean
[175.71-175.89]  she
[175.89-176.01]  was
[176.01-176.11]  it
[176.11-176.21]  was
[176.21-176.29]  a
[176.29-176.49]  tough
[176.49-176.97]  age
[176.97-177.31]  to
[177.31-177.59]  I
[177.59-177.67]  mean
[177.67-177.83]  we
[177.83-177.99]  went
[177.99-178.15]  from
[178.15-178.43]  being
[178.43-178.79]  you
[178.79-178.93]  know
[178.93-179.33]  like
[179.33-180.11]  being
[180.11-180.25]  in
[180.25-180.29]  a
[180.29-180.61]  school
[180.61-181.03]  where
[181.03-181.67]  lots
[181.67-181.89]  of
[181.89-182.09]  kids
[182.09-182.25]  look
[182.25-182.41]  like
[182.41-182.77]  us
[182.77-183.09]  to
[183.09-183.77]  being
[183.77-183.89]  in
[183.89-183.97]  a
[183.97-184.23]  school
[184.23-184.57]  where
[184.57-185.07]  were
[185.07-185.19]  the
[185.19-185.37]  only
[185.37-185.73]  three
[185.73-186.21]  black
[186.21-186.35]  and
[186.35-186.51]  brown
[186.51-186.81]  kids
[186.81-187.13]  there
[187.13-187.75]  is
[187.75-188.25]  pretty
[188.25-189.65]  jarring
[189.65-189.99]  to
[189.99-190.13]  say
[190.13-190.29]  the
[190.29-190.65]  least
[190.65-191.19]  how
[191.19-191.29]  did
[191.29-191.45]  she
[191.45-191.77]  overcome
[191.77-192.07]  that
[192.07-192.55]  you
[192.55-192.69]  know
[192.69-192.85]  I
[192.85-193.01]  think
[193.01-193.27]  for
[193.27-193.59]  Anita
[193.59-194.17]  she
[194.17-196.05]  was
[196.05-196.35]  always
[196.35-196.65]  good
[196.65-196.91]  with
[196.91-197.41]  challenges
[197.41-197.79]  like
[197.79-198.07]  she
[198.07-198.49]  there's
[198.49-198.73]  really
[198.73-198.97]  nothing
[198.97-199.19]  that
[199.19-199.33]  she
[199.33-199.75]  couldn't
[199.75-200.69]  make
[200.69-200.89]  it
[200.89-201.17]  through
[201.48-201.68]  What
[201.68-201.80]  was
[201.80-201.90]  your
[201.90-202.14]  first
[202.14-202.62]  impression
[202.62-203.02]  of
[203.02-203.20]  Anita?
[203.92-204.12]  Just
[204.12-204.52]  like
[204.52-204.86]  teeny
[204.86-205.42]  tiny
[205.42-205.98]  little
[205.98-206.58]  ball
[206.58-206.88]  of
[206.88-207.22]  energy
[207.22-207.40]  and
[207.40-207.72]  sunshine.
[208.78-209.02]  Amber
[209.02-209.32]  Nix
[209.32-209.56]  met
[209.56-209.80]  Anita
[209.80-210.16]  when
[210.16-210.34]  they
[210.34-210.50]  were
[210.50-210.90]  freshmen
[210.90-211.14]  in
[211.14-211.32]  high
[211.32-211.68]  school.
[212.30-212.66]  Even
[212.66-212.84]  at
[212.84-213.00]  that
[213.00-213.24]  young
[213.24-213.72]  age,
[214.00-214.06]  she
[214.06-214.26]  thought
[214.26-214.54]  Anita
[214.54-215.04]  was
[215.04-215.74]  perfectly
[215.74-216.02]  put
[216.02-216.60]  together.
[217.18-217.70]  Matching
[217.70-218.10]  clothes,
[218.44-218.74]  matching
[218.74-219.30]  shoes
[219.30-219.66]  to
[219.66-219.78]  her
[219.78-220.24]  clothes,
[220.70-220.80]  bows
[220.80-221.04]  in
[221.04-221.14]  her
[221.14-221.28]  hair
[221.28-221.50]  that
[221.50-222.02]  matched
[222.02-222.32]  her
[222.32-222.78]  purse
[222.78-223.30]  matched,
[223.60-224.08]  and
[224.08-224.78]  pink
[224.78-225.04]  was
[225.04-225.16]  her
[225.16-225.44]  color.
[225.84-225.92]  She
[225.92-226.02]  was
[226.02-226.14]  a
[226.14-226.36]  pink
[226.36-226.62]  kind
[226.62-226.72]  of
[226.72-226.90]  girl.
[227.18-227.24]  She
[227.24-227.40]  was.
[228.66-229.26]  Anita
[229.26-229.64]  was
[229.64-230.10]  always
[230.10-230.64]  moving.
[230.97-231.45]  School,
[231.85-232.05]  hanging
[232.05-232.25]  out
[232.25-232.41]  with
[232.41-232.73]  friends,
[233.13-233.49]  dancing,
[234.01-234.27]  she
[234.27-234.55]  joined
[234.55-234.73]  a
[234.73-234.99]  future
[234.99-235.43]  business
[235.43-235.83]  leaders
[235.83-236.23]  club.
[236.79-237.07]  And
[237.07-237.23]  here
[237.23-237.45]  she
[237.45-237.71]  is
[237.71-237.93]  doing
[237.93-238.11]  a
[238.11-238.33]  weather
[238.33-238.83]  report
[238.83-239.11]  for
[239.11-239.25]  a
[239.25-239.49]  class
[239.49-239.97]  project.

--- Chunk 3 ---
[12.46-13.14]  Larissa
[13.14-13.62]  Rao
[13.62-14.30]  loved
[14.30-15.00]  Anita's
[15.00-15.42]  can
[15.42-15.78] -do,
[16.12-16.52]  generous
[16.52-17.16]  spirit.
[17.82-18.18]  She
[18.18-18.56]  literally
[18.56-18.92]  became
[18.92-19.22]  friends
[19.22-19.54]  with
[19.54-20.28]  anybody,
[20.54-20.64]  like
[20.64-20.92]  she
[20.92-21.50]  always,
[21.96-22.66]  like,
[22.88-23.04]  went
[23.04-23.38]  towards
[23.38-23.60]  the
[23.60-23.88]  people
[23.88-24.38]  that
[24.38-25.10]  probably
[25.10-25.34]  never
[25.34-25.58]  would
[25.58-25.76]  have
[25.76-25.92]  a
[25.92-26.06]  lot
[26.06-26.20]  of
[26.20-26.48]  friends,
[26.48-26.82]  so
[26.82-27.14]  she
[27.14-27.98]  always
[28.44-28.64]  you
[28.64-28.76]  know,
[28.84-28.94]  try
[28.94-29.04]  to
[29.04-29.12]  be
[29.12-29.32]  friends
[29.32-29.48]  with
[29.48-30.04]  everybody.
[30.92-31.26]  After
[31.26-31.52]  high
[31.52-31.80]  school,
[32.16-32.28]  it
[32.28-32.46]  was
[32.46-32.70]  on
[32.70-32.86]  to
[32.86-33.30]  college
[33.30-33.56]  and
[33.56-33.74]  my
[33.74-34.00]  not,
[34.44-34.64]  about
[34.64-34.86]  an
[34.86-35.22]  hour
[35.22-35.52]  from
[35.52-35.76]  but.
[36.60-36.84]  She
[36.84-37.00]  wanted
[37.00-37.14]  to
[37.14-37.22]  be
[37.22-37.32]  a
[37.32-37.60]  teacher
[37.60-38.06]  and
[38.06-38.68]  she
[38.68-38.94]  loved
[38.94-39.40]  kids,
[39.42-39.80]  kids
[39.80-39.94]  loved
[39.94-40.14]  her.
[40.72-40.88]  So
[40.88-41.06]  she
[41.06-41.50]  majored
[41.50-41.70]  in
[41.70-42.28]  elementary
[42.28-43.10]  education
[43.10-43.52]  at
[43.52-43.70]  my
[43.70-43.88]  not
[43.88-44.38]  state.
[44.98-45.26]  After
[45.26-45.42]  a
[45.42-45.80]  semester
[45.80-46.02]  in
[46.02-46.12]  the
[46.12-46.72]  dorms,
[46.88-47.04]  Anita
[47.04-47.48]  and
[47.48-47.66]  one
[47.66-47.78]  of
[47.78-47.88]  her
[47.88-48.32]  roommates,
[48.70-48.90]  Nicole
[48.90-49.40]  Thomas,
[49.90-50.20]  decided
[50.20-50.44]  to
[50.44-50.66]  move
[50.66-51.04]  off
[51.04-51.48]  campus.
[52.34-52.52]  I
[52.52-52.76]  think
[52.76-52.98]  they
[52.98-53.24]  just
[53.24-53.58]  wanted
[53.58-54.66]  to
[54.66-54.84]  have
[54.84-55.04]  their
[55.04-55.20]  own
[55.20-55.52]  space
[55.52-55.92]  so
[55.92-56.16]  then
[56.16-56.32]  they
[56.32-56.48]  were
[56.48-56.76]  both
[57.12-57.36]  Like,
[57.38-57.64]  let's
[57.64-57.72]  just
[57.72-57.88]  get
[57.88-57.98]  an
[57.98-58.22]  apartment
[58.22-58.66]  together
[58.66-58.94]  so
[58.94-59.14]  they
[59.14-59.38]  did.
[61.12-61.70]  Anita's
[61.70-62.10]  apartment
[62.10-62.58]  had
[62.58-62.90]  become
[62.90-63.12]  a
[63.12-63.42]  crime
[63.42-63.84]  scene.
[64.42-64.82]  Those
[64.82-65.04]  who
[65.04-65.30]  knew
[65.30-65.52]  and
[65.52-65.76]  loved
[65.76-66.02]  her
[66.02-66.38]  gathered
[66.38-67.10]  outside,
[67.64-67.94]  brimming
[67.94-68.22]  with
[68.22-68.62]  questions
[68.62-68.90]  for
[68.90-69.30]  police.
[70.16-70.76]  And
[70.76-71.06]  police
[71.06-71.38]  would
[71.38-71.54]  have
[71.54-71.98]  questions
[71.98-72.34]  for
[72.34-72.66]  some
[72.66-72.84]  of
[72.84-73.14]  them
[73.14-73.82]  about
[73.82-74.20]  Anita,
[74.66-74.90]  her
[74.90-75.26]  life,
[75.70-76.20]  and
[76.20-76.32]  the
[76.32-76.64]  people
[76.64-76.86]  who
[76.86-77.36]  surrounded
[77.36-77.66]  her.
[78.16-78.62]  She
[78.62-78.80]  got
[78.80-78.96]  any
[78.96-79.26]  guys
[79.26-79.48]  or
[79.48-79.80]  anything
[79.80-80.00]  that
[80.00-80.36]  she's
[80.36-80.78]  interested
[80.78-81.00]  in
[81.00-81.20]  over
[81.20-81.34]  there,
[81.54-81.84]  interested
[81.84-82.06]  in
[82.06-82.24]  her?
[83.10-83.70]  I
[83.70-83.80]  don't
[83.80-83.90]  know.
[84.00-84.12]  She
[84.12-84.26]  was
[84.26-84.48]  going
[84.48-84.78]  on
[84.78-84.78]  the
[84.78-84.94]  scale,
[85.20-85.66]  so...
[92.62-93.10]  Do
[93.10-93.24]  you
[93.24-93.24]  have
[93.24-93.38]  a
[93.38-93.64]  single
[93.64-93.90]  person
[93.90-94.12]  for
[94.12-94.24]  a
[94.24-94.34]  day
[94.34-94.58]  or
[94.58-94.76]  a
[94.76-95.00]  little
[95.00-95.22]  company?
[95.84-96.32]  Did
[96.32-96.64]  you
[96.64-96.64]  expect
[96.64-96.84]  that?
[97.62-97.92]  How
[97.92-98.82]  can
[98.82-99.06]  you
[99.06-99.24]  step
[99.24-99.52]  on
[99.52-99.52]  it?
[99.72-99.88]  Or
[99.88-100.24]  start
[100.24-100.78]  or
[100.78-101.28]  register
[101.28-101.80]  your
[101.80-102.02]  own
[102.02-102.34]  company?
[102.68-102.90]  Many
[102.90-103.32]  years
[103.32-103.52]  are
[103.52-103.84]  the
[103.84-103.96]  same.
[104.36-104.44]  But
[104.44-104.86]  you
[104.86-105.00]  can
[105.00-105.28]  also
[105.28-105.46]  start
[105.46-105.80]  AS
[105.80-106.10]  or
[106.10-106.32]  single
[106.32-106.60]  person
[106.60-106.76]  for
[106.76-106.88]  a
[106.88-107.12]  day
[107.12-107.32]  at
[107.32-107.42]  the
[107.42-107.56]  end
[107.56-107.70]  of
[107.70-107.84]  the
[107.84-108.00]  year.
[108.54-109.02]  Start
[109.02-109.36]  company,
[109.64-110.12]  super
[110.12-110.22]  easy.
[112.04-112.52]  Hey
[112.52-112.92]  everyone,
[113.14-113.24]  I'm
[113.24-113.40]  Jenna
[113.40-113.86]  Bushhager
[113.86-114.10]  from
[114.10-114.24]  The
[114.24-114.46]  Today
[114.46-114.74]  Show,
[114.94-115.00]  and
[115.00-115.12]  I'm
[115.12-115.42]  excited
[115.42-115.66]  to
[115.66-115.84]  share
[115.84-116.04]  my
[116.04-116.52]  podcast,
[116.98-117.18]  Open
[117.18-117.42]  Book
[117.42-117.66]  with
[117.66-117.90]  Jenna.
[118.34-118.42]  It
[118.42-118.54]  is
[118.54-118.78]  back
[118.78-119.12]  for
[119.12-119.56]  season
[119.56-119.94]  two.
[120.34-120.54]  Each
[120.54-120.76]  week,
[120.92-121.34]  celebrities,
[121.56-121.84]  experts,
[122.08-122.28]  friends,
[122.28-122.52]  and
[122.52-122.82]  authors
[122.82-123.00]  will
[123.00-123.20]  share
[123.20-123.64]  candid
[123.64-123.96]  stories
[123.96-124.22]  with
[124.22-124.42]  me
[124.42-124.78]  about
[124.78-125.00]  their
[125.00-125.36]  lives
[125.36-125.58]  and
[125.58-125.76]  new
[125.76-126.22]  projects.
[126.90-127.24]  Guests
[127.24-127.48]  like
[127.48-127.96]  Rebecca
[127.96-128.58]  Yarros,
[129.10-129.16]  Kristen
[129.16-129.54]  Hannah,
[129.92-130.04]  Ego
[130.04-130.54]  Wotem,
[130.76-130.82]  and
[130.82-131.06]  more.
[131.38-131.46]  Like
[131.46-131.60]  a
[131.60-131.74]  good
[131.74-132.02]  book,
[132.28-132.42]  you'll
[132.42-132.54]  be
[132.54-132.88]  feeling
[132.88-133.48]  inspired
[133.48-133.74]  and
[133.74-134.22]  entertained.
[134.66-134.86]  Join
[134.86-135.08]  me
[135.08-135.26]  for
[135.26-135.40]  my
[135.40-135.80]  podcast,
[136.12-136.30]  Open
[136.30-136.58]  Book
[136.58-136.86]  with
[136.86-137.14]  Jenna.
[137.56-137.76]  Listen
[137.76-138.04]  now
[138.04-138.26]  on
[138.26-138.50]  Apple
[138.50-139.40]  Podcasts.
[142.69-143.21]  Every
[143.21-143.59]  morning
[143.59-143.97]  brings
[143.97-144.29]  a
[144.29-144.59]  fresh
[144.59-145.11]  new
[145.11-145.79]  energy.
[146.03-146.17]  This
[146.17-146.45]  is
[146.45-146.89]  today.
[147.27-147.59]  And
[147.59-147.75]  no
[147.75-147.97]  matter
[147.97-148.25]  what
[148.25-148.45]  the
[148.45-148.63]  day
[148.63-148.99]  holds,
[149.23-149.29]  we
[149.29-149.47]  come
[149.47-149.63]  to
[149.63-149.75]  the
[149.75-150.03]  today
[150.03-150.37]  show
[150.37-150.71]  for
[150.71-150.99]  all
[150.99-151.23]  of
[151.23-151.37]  it.
[151.73-151.87]  When
[151.87-152.09]  things
[152.09-152.27]  are
[152.27-152.51]  tough,
[152.85-153.03]  we
[153.03-153.19]  talk
[153.19-153.47]  about
[153.47-153.75]  it.
[154.15-154.37]  When
[154.37-154.57]  there's
[154.57-154.77]  something
[154.77-154.91]  to
[154.91-155.13]  figure
[155.13-155.45]  out,
[155.87-156.09]  we
[156.09-156.29]  dig
[156.29-156.63]  into
[156.63-156.97]  it.
[157.23-157.47]  And
[157.47-157.61]  when
[157.61-157.99]  there's
[157.99-158.27]  joy,
[158.63-158.89]  we
[158.89-159.29]  celebrate
[159.29-159.59]  it.
[159.85-160.07]  Because
[160.07-160.43]  today
[160.43-160.65]  is
[160.65-160.75]  where
[160.75-160.93]  it's
[160.93-161.15]  all
[161.15-161.63]  happening.
[162.23-162.41]  We
[162.41-162.51]  get
[162.51-162.65]  the
[162.65-162.95]  best
[162.95-163.33]  start
[163.33-163.55]  to
[163.55-163.95]  every
[163.95-164.41]  morning.
[164.75-165.01]  Because
[165.01-165.21]  we
[165.21-165.51]  start
[165.51-165.71]  it
[165.71-166.23]  together.
[166.57-166.81]  Watch
[166.81-167.01]  the
[167.01-167.23]  today
[167.23-167.49]  show
[167.49-167.71]  with
[167.71-168.11]  Savannah
[168.11-168.53]  Guthrie
[168.53-168.73]  and
[168.73-169.01]  Craig
[169.01-169.33]  Melvin
[169.33-169.85]  weekdays
[169.85-170.01]  at
[170.01-170.29]  7
[170.29-170.45]  a
[170.45-170.69] .m.
[170.73-170.85]  on
[170.85-171.27]  NBC.
[181.44-182.00]  The
[182.00-182.34]  quiet
[182.34-182.80]  apartment
[182.80-183.48]  complex
[183.48-183.72]  where
[183.72-184.00]  Anita
[184.00-184.52]  Kanutsen
[184.52-184.88]  lived
